Date,Open,High,Low,Close,Adj Close,Volume,12-day EMA,26-day EMA,MACD line,Signal line,MACD histogram,Up,Down,SMA Up,SMA Down,RS,RSI
9/14/2015,16450.85938,16450.85938,16330.87012,16370.95996,16370.95996,92660000,,,,,,,,,,,
9/15/2015,16382.58008,16644.10938,16382.58008,16599.84961,16599.84961,93050000,,,,,,228.889648,0,,,,
9/16/2015,16599.50977,16755.98047,16593.90039,16739.94922,16739.94922,99620000,,,,,,140.09961,0,,,,
9/17/2015,16738.08008,16933.42969,16639.92969,16674.74023,16674.74023,129600000,,,,,,0,65.208985,,,,
9/18/2015,16674.74023,16674.74023,16343.75977,16384.58008,16384.58008,341690000,,,,,,0,290.160156,,,,
9/21/2015,16406.09961,16578.59961,16391.88086,16510.18945,16510.18945,90730000,,,,,,125.609375,0,,,,
9/22/2015,16477.44922,16477.44922,16221.73047,16330.46973,16330.46973,119010000,,,,,,0,179.719726,,,,
9/23/2015,16332.80957,16355.29004,16211.98047,16279.88965,16279.88965,86030000,,,,,,0,50.580079,,,,
9/24/2015,16257.11035,16257.11035,16016.36035,16201.32031,16201.32031,122220000,,,,,,0,78.569335,,,,
9/25/2015,16205.07031,16465.23047,16205.07031,16314.66992,16314.66992,130790000,,,,,,113.349609,0,,,,
9/28/2015,16313.25977,16313.25977,15981.84961,16001.88965,16001.88965,139930000,,,,,,0,312.780274,,,,
9/29/2015,16001.75977,16118.88965,15942.37012,16049.12988,16049.12988,121160000,16371.46981,,,,,47.240235,0,,,,
9/30/2015,16057.08008,16297.59961,16057.08008,16284.7002,16284.7002,145740000,16358.12064,,,,,235.570312,0,,,,
10/1/2015,16278.62012,16348.87012,16073.82031,16272.00977,16272.00977,111420000,16344.87281,,,,,0,12.690429,,,,
10/2/2015,16258.25,16472.76953,16013.66016,16472.36914,16472.36914,136870000,16364.48763,,,,,200.359375,0,77.93701171,70.69349886,1.102463635,52.43675166
10/5/2015,16502.09961,16798.36914,16502.09961,16776.42969,16776.42969,127660000,16427.86333,,,,,304.060547,0,83.30636164,70.69349886,1.178416163,54.09508903
10/6/2015,16774.01953,16865.08984,16746.0293,16790.18945,16790.18945,120010000,16483.60581,,,,,13.759765,0,74.282087,70.69349886,1.050762633,51.23765257
10/7/2015,16805.41992,16963.30078,16765,16912.28906,16912.28906,115690000,16549.55708,,,,,122.09961,0,83.00348771,66.03571421,1.256948436,55.69238606
10/8/2015,16904.16992,17081.2793,16859.33984,17050.75,17050.75,100730000,16626.66368,,,,,138.460937,0,92.89355464,45.30998879,2.050178275,67.21503106
10/9/2015,17054.68945,17110.88086,17027.23047,17084.49023,17084.49023,103730000,16697.09854,,,,,33.740234,0,86.33147314,45.30998879,1.905351898,65.58076147
10/12/2015,17082.28906,17139.21094,17064.58008,17131.85938,17131.85938,72500000,16763.98482,,,,,47.369141,0,89.71498321,32.4728655,2.762767678,73.42381764
10/13/2015,17113.55078,17172.81055,17034.44922,17081.89063,17081.89063,99400000,16812.89341,,,,,0,49.96875,89.71498321,32.42919914,2.766487782,73.45006654
10/14/2015,17079.08008,17111.38086,16887.66992,16924.75,16924.75,120110000,16830.10211,,,,,0,157.140625,89.71498321,38.04143414,2.358349133,70.22346515
10/15/2015,16944.85938,17144.41992,16933.57031,17141.75,17141.75,122960000,16878.04794,,,,,217,0,97.11858257,38.04143414,2.552968487,71.85452098
10/16/2015,17141.75,17220.01953,17107.34961,17215.9707,17215.9707,145880000,16930.03606,,,,,74.220703,0,102.4200614,15.699986,6.523576604,86.70844928
10/19/2015,17209.42969,17235.94922,17129.18945,17230.53906,17230.53906,118430000,16976.26729,16647.21635,329.0509439,,,14.56836,0,100.086356,15.699986,6.374932818,86.44055445
10/20/2015,17228.4707,17264.88086,17147.99023,17217.10938,17217.10938,106670000,17013.31992,16689.43064,323.8892739,,,0,13.429688,83.25990514,16.65924943,4.997818509,83.32727143
10/21/2015,17225.92969,17314.99023,17153.13086,17168.60938,17168.60938,107100000,17037.2106,16724.92537,312.2852388,,,0,48.5,83.25990514,19.21707593,4.332600103,81.24742188
10/22/2015,17180.88086,17505.17969,17180.88086,17489.16016,17489.16016,152420000,17106.7413,16781.53535,325.2059546,,,320.550781,0,91.84500557,19.21707593,4.779343429,82.69699643
10/23/2015,17525.10938,17679.36914,17525.10938,17646.69922,17646.69922,158090000,17189.81175,16845.62156,344.1901904,,,157.539063,0,81.37918529,19.21707593,4.234732984,80.89682887
